"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"200165","Clare Jeffreys","SCS2","DEF EA BUSINESS FINANCE HEAD OFFICE","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","2105434","1.00","85000","85000","","Finance","NORTH EAST","","1"
"200259","Susan Bateman","SCS2","DEF OFFICE OF THE CHIEF DATA OFFICER","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","OFFICE OF THE CHIEF DATA OFFICER DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200297","1538697","1.00","125000","125000","","Digital  Data and Technology","LONDON","","1"
"200270","Einav Ben-Yehuda","SCS2","DEF COMMERCIAL DIRECTORATE","Policy Profession","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEF COMMERCIAL DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","1674797","1.00","130000","130000","","Policy Profession","LONDON","","1"
"200292","Andrew Mayes","SCS2","DEF GCS STRATEGY, PARTNERSHIPS AND OPERATIONS DIRECTORATE","Policy Profession","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEF GCS STRATEGY, PARTNERSHIPS AND OPERATIONS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","70014","1.00","130000","130000","","Policy Profession","EAST OF ENGLAND","","1"
"200029","Colin Dingwall","SCS2","DEF SCIENCE PROJECTS - MASTERPLAN / SCAH","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","NATIONAL BIOSECURITY CENTRE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","1345513","1.00","110000","110000","","Project Management Delivery","LONDON","","1"
"200054","Christopher Hobley","SCS2","Strategy Unit","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","GROUP STRATEGY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200202","1395017","1.00","115000","115000","","Missing Data","LONDON","","1"
"200067","Emma Campbell","SCS2","Office of the Director of Analysis","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANALYSIS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200297","456987","1.00","110000","110000","","Economic","LONDON","","1"
"200075","Iain King","SCS2","DEF DEFRA GROUP FINANCE - CFO","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","1398350","1.00","130000","130000","","Finance","LONDON","","1"
"200077","Charlotte Baker","SCS2","DEF AFC FOOD STRATEGY","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","AGRI FOOD CHAIN DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200268","2479382","0.69","110000","110000","","Policy","LONDON","","1"
"200083","Pamela Thompson","SCS2","Director: Animal and Plant Health","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANIMAL AND PLANT HEALTH DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200268","6216967","1.00","100000","100000","","Policy","NORTH WEST","","1"
"200087","Tessa Jones","SCS2","DEF AFC FOOD STRATEGY","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","AGRI FOOD CHAIN DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200268","347610","0.69","110000","110000","","Policy","LONDON","","1"
"200091","Gareth Baynham-Hughes","SCS2","DEF MARINE DIRECTOR AND SUPPORT","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MARINE AND FISHERIES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200206","622279","1.00","110000","110000","","Policy","LONDON","","1"
"200092","Mike Rowe","SCS2","DEF FFCP DIRECTORS OFFICE","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENTAL LAND MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200268","2297143","1.00","110000","110000","","Missing Data","LONDON","","1"
"200135","Toby Nation","SCS2","EQ Portfolio Office","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENT QUALITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200206","3837961","0.92","115000","115000","","Policy","LONDON","","1"
"200139","Sebastian Catovsky","SCS2","Water Ongoing Activities - Corporate Support","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200202","450694","1.00","100000","100000","","Missing Data","LONDON","","1"
"200140","Deborah Hankins","SCS2","Natural Environment Policy Directors Office","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","BIODIVERSITY, LAND USE & INVESTMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200206","440128","1.00","110000","110000","","Policy","LONDON","","1"
"200149","Nicola Bettesworth","SCS2","DEF HR PRIVATE OFFICE","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","1273552","1.00","130000","130000","","Human Resources","SOUTH EAST","","1"
"200157","Christopher Howes","SCS2","DEF GIO Resources","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","670012","1.00","150000","150000","","Digital  Data and Technology","SOUTH WEST","","1"
"200160","Colin Banno-Thornton","SCS2","DEF DDTS - CROSS CUTTING NON-TECHNICAL","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200157","1919136","1.00","110000","110000","","Digital  Data and Technology","NORTH WEST","","1"
"200180","Emma Bourne","SCS2","DEF RESOURCE AND WASTE DIRECTORS OFFICE","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","CIRCULAR ECONOMY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200206","1286320","1.00","110000","110000","","Policy","LONDON","","1"
"200181","Edward Parry","SCS2","DEF GIO Resources","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200157","13930367","1.00","110000","110000","","Digital  Data and Technology","SOUTH WEST","","1"
"200184","Andrea Ledward","SCS2","DEF IBC DIRECTORATE SUPPORT","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","INTERNATIONAL BIODIVERSITY AND CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200206","2104636","1.00","110000","110000","","Policy","LONDON","","1"
"200191","Mark Thompson","SCS2","DEF NID DIRECTOR'S OFFICE","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200268","1109126","1.00","110000","110000","","Policy","LONDON","","1"
"200203","Helen Johnston","SCS2","DEF COO & DG OFFICE WORKFORCE","Property","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","793930","1.00","100000","100000","","Project Management Delivery","NORTH EAST","","1"
"200205","Rebecca Shrubsole","SCS2","DEF MINISTERIAL, GROWTH AND RESILIENCE DIRECTOR","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MINISTERIAL, GROWTH AND RESILIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200202","596588","1.00","110000","110000","","Missing Data","LONDON","","1"
"200207","Edward Barker","SCS2","DEF EU EXIT ENV GOV BODY AND STATEMENT OF ENV PRINCIPLES","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","STRATEGY, GOVERNANCE & CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200206","2723596","1.00","110000","110000","","Policy","LONDON","","1"
"200210","David Hallam","SCS2","Water Ongoing Activities - Corporate Support","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200202","616835","1.00","115000","115000","","Policy","LONDON","","1"
"200231","Christian Cubitt","SCS2","Comms Director and Support","Communications","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","COMMUNICATIONS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200202","519833","1.00","135000","135000","","Communications","LONDON","","1"
"200321","Lyndsay Rooney","SCS2","DEF ENABLING PROGRAMMES","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","CHANGE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","372661","1.00","120000","120000","","Missing Data","LONDON","","1"
"200237","Kate Smaldon","SCS2","Finance Director and Admin Support","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","596912","1.00","110000","110000","","Finance","WEST MIDLANDS","","1"
"200264","Misha Anand","SCS2","DEF Strat Business Relationship Man","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200157","343761","1.00","145000","145000","","Digital  Data and Technology","LONDON","","1"
"200267","Kirsten Wildgoose","SCS2","DEF PORTFOLIO OFFICE - PORTFOLIO MANAGEMENT OFFICE","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","PORTFOLIO DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","173193","1.00","120000","120000","","Project Management Delivery","LONDON","","1"
"200301","Jeremy Blake","SCS2","DEF EPR SCHEME ADMINISTRATOR","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","PEPR DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200206","213833","1.00","135000","135000","","Missing Data","LONDON","","1"
"200316","Sophie Brice","SCS2","DEF TRADE ANALYSIS, PROJECT DELIVERY & SUPPORT","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","EU AND INTERNATIONAL TRADE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200268","421778","1.00","100000","100000","","Missing Data","LONDON","","1"
"200004","N/D","SCS1","Animal and Plant Health Evidence Analysis","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANIMAL AND PLANT HEALTH DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200083","1533308","1.00","N/A","N/A","","Social Research","LONDON","","1"
"200005","N/D","SCS1","DEF EUDP STRATEGY, LEGISLATION AND ENGAGEMENT","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200191","1031161","1.00","N/A","N/A","","Policy","LONDON","","1"
"200008","N/D","SCS1","Water Programme - Water Quality","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200139","0","1.00","N/A","N/A","","Policy","UNKNOWN","","1"
"200010","N/D","SCS1","DEF HRBP POLICY & EVIDENCE","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","426646","1.00","N/A","N/A","","Human Resources","LONDON","","1"
"200011","N/D","SCS1","DEF FFAPH OFFICE","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FOOD BIOSECURITY AND TRADE DG OFFICE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200077","0","1.00","N/A","N/A","","Policy","LONDON","","1"
"200012","N/D","SCS1","DEF NORTHERN IRELAND STRATEGY AND SERVICES","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","TRADE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200191","1560757","1.00","N/A","N/A","","Project Management Delivery","SOUTH WEST","","1"
"200014","N/D","SCS1","Environment analysis unit","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","STRATEGY, GOVERNANCE & CLIMATE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200207","1773723","1.00","N/A","N/A","","Geography","LONDON","","1"
"200015","N/D","SCS1","Air Quality","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENT QUALITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200135","1034880","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200017","N/D","SCS1","DEF FFCP DIRECTORS OFFICE","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENTAL LAND MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200092","1237591","0.50","N/A","N/A","","Policy","UNKNOWN","","1"
"200018","N/D","SCS1","HR Business Partners","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","0","1.00","N/A","N/A","","Human Resources","LONDON","","1"
"200019","N/D","SCS1","DEF F&W - WATER ENVIRONMENT & PUBLIC HEALTH","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","WATER AND FLOOD MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200139","2442028","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200020","N/D","SCS1","DEF FFCP POLICY ENGAGEMENT & STRATEGY","Analysis","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENTAL LAND MANAGEMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200092","3030007","1.00","N/A","N/A","","Economic","LONDON","","1"
"200021","N/D","SCS1","DEF APHA Finance","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200075","746526","1.00","N/A","N/A","","Finance","WEST MIDLANDS","","1"
"200025","N/D","SCS1","DEF FLS-ODA STAFF HUB AND IBF","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","OFFICIAL DEVELOPMENT ASSISTANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200184","1913044","0.97","N/A","N/A","","Policy","LONDON","","1"
"200026","N/D","SCS1","DEF FLS-ODA STAFF HUB AND IBF","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","OFFICIAL DEVELOPMENT ASSISTANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200184","0","0.71","N/A","N/A","","Policy","LONDON","","1"
"200028","N/D","SCS1","DEF AFC FOOD STRATEGY","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","AGRI FOOD CHAIN DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200077","168291","1.00","N/A","N/A","","Policy","LONDON","","1"
"200031","N/D","SCS1","DEF EMERGENCY OPERATIONS CENTRE - COVID19","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MINISTERIAL, GROWTH AND RESILIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200205","3486350","1.00","N/A","N/A","","Missing Data","LONDON","","1"
"200036","N/D","SCS1","DEF PORTFOLIO PROJECT COEX","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","PORTFOLIO DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200267","1959499","1.00","N/A","N/A","","Project Management Delivery","UNKNOWN","","1"
"200038","N/D","SCS1","DEF FUTURE FARMING AND COUNTRYSIDE INITIATIVE","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200160","0","1.00","N/A","N/A","","Digital  Data and Technology","LONDON","","1"
"200040","N/D","SCS1","DEF NATURE RESTORATION FUND","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","BIODIVERSITY, LAND USE & INVESTMENT DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200140","1054551","1.00","N/A","N/A","","Policy","LONDON","","1"
"200045","N/D","SCS1","DEF DDTS CHIEF OPERATING OFFICE","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200157","3310980","1.00","N/A","N/A","","Communications","SOUTH EAST","","1"
"200047","N/D","SCS1","DEF TARIFFS, RULES OF ORIGIN AND INTERNATIONAL FOOD SECURITY","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","EU AND INTERNATIONAL TRADE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200316","3512687","1.00","N/A","N/A","","International Trade and Negotiation","LONDON","","1"
"200048","N/D","SCS1","DEF PORTFOLIO IMPROVING CUSTOMER DELIVERY","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","CHANGE DELIVERY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200231","755911","1.00","N/A","N/A","","Operational Delivery","YORKSHIRE AND THE HUMBER","","1"
"200049","N/D","SCS1","DEF BUILD WORKFORCE","Property","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200203","2465058","1.00","N/A","N/A","","Property","NORTH EAST","","1"
"200050","N/D","SCS1","DEF ENVIRONMENT GROUP FBP TEAM (CORE)","Finance","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FINANCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200046","637556","1.00","N/A","N/A","","Finance","LONDON","","1"
"200058","N/D","SCS1","DEF STRATEGIC, GOVERNANCE & RISK","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","GROUP STRATEGY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200054","3040716","1.00","N/A","N/A","","Policy","LONDON","","1"
"200059","N/D","SCS1","DEF SOLUTION ARCHITECTURE","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200160","1281493","1.00","N/A","N/A","","Digital  Data and Technology","NORTH EAST","","1"
"200060","N/D","SCS1","DEF NATURAL CAPITAL & ECOSYSTEM ASSESSMENT (TERRESTRIAL)","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANALYSIS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200067","1983284","1.00","N/A","N/A","","Project Management Delivery","UNKNOWN","","1"
"200062","N/D","SCS1","Equality","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","2114677","1.00","N/A","N/A","","Human Resources","EAST MIDLANDS","","1"
"200063","N/D","SCS1","DEF HR BUSINESS MANAGEMENT AND SPECIALIST SERVICES","Human Resources","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","HUMAN RESOURCES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200149","0","1.00","N/A","N/A","","Human Resources","SOUTH EAST","","1"
"200065","N/D","SCS1","DEF CE PROGRAMME INCLUDING COMMS","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","CIRCULAR ECONOMY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200180","2919032","1.00","N/A","N/A","","Project Management Delivery","LONDON","","1"
"200068","N/D","SCS1","DEF GIO Resources","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200181","0","1.00","N/A","N/A","","Digital  Data and Technology","UNKNOWN","","1"
"200069","N/D","SCS1","DEF GIO Resources","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200181","255403","1.00","N/A","N/A","","Digital  Data and Technology","YORKSHIRE AND THE HUMBER","","1"
"200070","N/D","SCS1","DEF NATURAL CAPITAL & ECOSYSTEM ASSESSMENT (TERRESTRIAL)","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANALYSIS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200067","624160","1.00","N/A","N/A","","Statistics","SOUTH WEST","","1"
"200071","N/D","SCS1","DEF GCS STRATEGY AND GOVERNANCE","Project Delivery","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","GCS STRATEGY, PARTNERSHIPS AND OPERATIONS DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200007","1246961","1.00","N/A","N/A","","Project Management Delivery","SOUTH EAST","","1"
"200073","N/D","SCS1","Security and Contingency Planning","Security","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200157","2866601","1.00","N/A","N/A","","Security","LONDON","","1"
"200076","N/D","SCS1","DEF USER-CENTRED DESIGN","Digital Data and Technology","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DIGITAL, DATA, TECHNOLOGY AND SECURITY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200160","424853","1.00","N/A","N/A","","Digital  Data and Technology","LONDON","","1"
"200078","N/D","SCS1","DEF STRATEGY WORKFORCE","Property","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","DEFRA GROUP PROPERTY DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200203","1145146","1.00","N/A","N/A","","Property","WALES","","1"
